id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
17,AB:06,11.2,150.0,1013.0,1098.0,70.0,35.0,
1,Buzz,4.5,60.0,1010.0,1044.0,20.0,10.0,4.4
214,Cult Lager,5.4,50.0,1049.0,1008.0,19.0,8.0,4.1
69,AB:16,10.6,55.0,1012.0,1090.0,30.0,15.0,4.4
267,AB:22,12.5,70.0,1020.0,1115.0,100.0,51.0,4.1
137,Sink The Bismarck!,41.0,1085.0,1016.0,1085.0,40.0,20.0,4.4
59,Mandarina Bavaria - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
325,Zipcode,5.0,37.0,1006.0,1044.0,5.0,3.0,4.4
312,Dog G,17.0,100.0,1015.0,1125.0,500.0,254.0,4.4
84,Baby Saison - B-Sides,3.6,9.0,1004.0,1032.0,2.0,1.0,4.4
178,Simcoe,6.7,70.0,1012.0,1063.0,30.0,15.0,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40.0,1008.0,1053.0,177.3,88.7,4.4
246,Casino Rye Ale,5.1,40.0,1009.0,1049.0,25.0,12.7,5.2
270,Blonde Export Stout,7.0,55.0,1020.0,1075.0,16.0,8.0,4.4
138,Dog A,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
301,Small Batch: Dry-hopped Pilsner,4.7,37.0,1006.0,1042.0,5.0,3.0,4.4
268,Hazy Jane,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2
173,Chinook - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
304,Karma Cloud,6.5,50.0,1010.0,1060.0,35.0,18.0,4.4
249,Hop Shot,7.0,250.0,1010.0,1065.0,15.0,7.5,4.4
40,Hello My Name is Vladimir,8.2,70.0,1013.0,1076.0,16.0,8.0,4.4
272,Small Batch: Spelt & Honey Saison,5.2,22.0,1008.0,1046.0,8.0,4.0,4.1
23,Storm,8.0,60.0,1010.0,1082.0,12.0,6.0,4.4
64,Sub Hop,8.0,35.0,1016.0,1077.0,15.0,7.5,4.4
290,Hello My Name Is Niamh,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
154,No Label,4.5,25.0,1009.0,1043.0,10.0,5.0,4.2
156,Hoppy Christmas,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
185,Tactical Nuclear Penguin,32.0,1157.0,1028.0,1157.0,250.0,127.0,4.4
79,Hops Kill Nazis,7.6,70.0,1015.0,1073.0,59.0,29.5,4.4
213,El Dorado - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
103,Clown King,12.0,85.0,1020.0,1130.0,24.0,12.0,4.4
310,Clockwork Tangerine,4.5,37.0,1012.0,1047.0,20.0,10.0,4.2
164,Ella - IPA Is Dead,7.2,100.0,1010.0,1064.0,12.0,6.0,4.4
169,AB:19,13.1,,,,,,
282,Pina Colada Sidewalk,5.2,10.0,1008.0,1055.0,15.0,7.0,3.8
208,Sunshine On Rye - B-Sides,7.2,130.0,1010.0,1065.0,14.0,7.0,5.2
245,Beatnik,8.0,60.0,1013.0,1075.0,60.0,30.5,5.2
217,Barrel Aged Albino Squid Assassin,9.2,65.0,1012.0,1069.0,60.0,30.0,4.2
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85.0,1015.0,1063.0,24.0,12.0,4.2
279,Slot Machine,5.2,50.0,1011.0,1051.0,50.0,25.0,4.3
